Unnamed: 0,rank,title,artist,id
5,6,Snooze,SZA,
6,7,Water,Tyla,
7,8,Last Night,Morgan Wallen,
8,9,Fast Car,Luke Combs,
9,10,Agora Hills,Doja Cat,
10,11,Thinkin' Bout Me,Morgan Wallen,
11,12,Lose Control,Teddy Swims,
12,13,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,
13,14,Lil Boo Thang,Paul Russell,
14,15,Flowers,Miley Cyrus,
16,17,FTCU,Nicki Minaj,
17,18,White Horse,Chris Stapleton,
18,19,Stick Season,Noah Kahan,
19,20,What Was I Made For?,Billie Eilish,
20,21,Vampire,Olivia Rodrigo,
21,22,Need A Favor,Jelly Roll,
22,23,Dance The Night,Dua Lipa,
23,24,Fukumean,Gunna,
24,25,World On Fire,Nate Smith,
25,26,Houdini,Dua Lipa,
27,28,Save Me,Jelly Roll With Lainey Wilson,
29,30,Used To Be Young,Miley Cyrus,
30,31,Kill Bill,SZA,
31,32,Good Good,"Usher, Summer Walker & 21 Savage",
32,33,Pretty Little Poison,Warren Zeiders,
33,34,La Diabla,Xavi,
34,35,On My Mama,Victoria Monet,
35,36,Truck Bed,HARDY,
36,37,My Love Mine All Mine,Mitski,
37,38,Save Me The Trouble,Dan + Shay,
38,39,Exes,Tate McRae,
39,40,I Know ?,Travis Scott,
40,41,Wild Ones,Jessie Murph & Jelly Roll,
41,42,Strangers,Kenya Grace,
42,43,Monaco,Bad Bunny,
44,45,The Painter,Cody Johnson,
45,46,Get Him Back!,Olivia Rodrigo,
46,47,Never Lose Me,Flo Milli,
47,48,Dial Drunk,Noah Kahan With Post Malone,
48,49,Where The Wild Things Are,Luke Combs,
49,50,You Broke My Heart,Drake,
51,52,Harley Quinn,Fuerza Regida & Marshmello,
52,53,Burn It Down,Parker McCollum,
53,54,Bellakeo,Peso Pluma & Anitta,
54,55,La Victima,Xavi,
55,56,Feather,Sabrina Carpenter,
56,57,500lbs,Lil Tecca,
57,58,Qlona,Karol G & Peso Pluma,
58,59,I Can Feel It,Kane Brown,
60,61,You're Losing Me (From The Vault),Taylor Swift,
61,62,Mind On You,George Birge,
62,63,Can't Catch Me Now,Olivia Rodrigo,
64,65,Segun Quien,Maluma & Carin Leon,
66,67,El Amor de Su Vida,Grupo Frontera & Grupo Firme,
67,68,Soak City (Do It),310babii,
68,69,One Of The Girls,"The Weeknd, JENNIE & Lily Rose Depp",
69,70,Standing Next To You,Jung Kook,
70,71,23,Chayce Beckham,
71,72,Perro Negro,Bad Bunny & Feid,
74,75,Oklahoma Smokeshow,Zach Bryan,
75,76,Wondering Why,The Red Clay Strays,
76,77,Mmhmm,BigXthaPlug,
77,78,Great Gatsby,Rod Wave,
79,80,Bad Idea Right?,Olivia Rodrigo,
80,81,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon",
83,84,Virginia Beach,Drake,
84,85,Rich Men North Of Richmond,Oliver Anthony Music,
85,86,Northern Attitude,Noah Kahan With Hozier,
86,87,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,
87,88,Lace It,"Juice WRLD, Eminem & benny blanco",
88,89,Mi Ex Tenia Razon,Karol G,
89,90,Run For The Hills,Tate McRae,
91,92,Better Place,*NSYNC,
92,93,"Burn, Burn, Burn",Zach Bryan,
93,94,My Eyes,Travis Scott,
95,96,Tourniquet,Zach Bryan,
96,97,Y Lloro,Junior H,
97,98,Murder On The Dancefloor,Sophie Ellis-Bextor,
98,99,Amargura,Karol G,
99,100,Wildflowers And Wild Horses,Lainey Wilson,
